Record ID,User ID,User Name,Age,Gender,City,Height (cm),Weight (kg),Workout Type,Workout Duration (Minutes),Calories Burned,Steps,Heart Rate (BPM),Resting Heart Rate (BPM),Sleep Hours,Water Intake (Liters),Daily Calories Intake,Workout Frequency,Fitness Level,Activity Date
20,52,Usman Butt,50,Male,Karachi,189.8,72.0,Running,50.2,521.0,5384,115.0,86,8.2,1.83,2265,7,Intermediate,2025-02-09
21,36,Komal Khan,45,Male,Faisalabad,181.0,82.7,HIIT,82.0,1164.4,17400,101.0,57,5.5,2.27,2835,5,Advanced,2025-10-24
22,59,Noor Butt,42,Male,Karachi,170.6,88.5,HIIT,33.8,404.4,6983,112.0,58,7.2,2.35,2025,3,Intermediate,2025-09-12
23,29,Sana Chaudhry,19,Female,Peshawar,169.0,66.8,Swimming,24.1,287.0,6990,115.0,52,6.1,2.93,1936,7,Beginner,2025-01-16
24,60,Hamza Khan,52,Female,Peshawar,149.5,50.4,Swimming,39.5,367.7,8443,116.0,71,7.2,4.18,1645,5,Intermediate,2025-09-11
25,37,Ayesha Malik,34,Male,Rawalpindi,174.9,80.3,Yoga,84.1,176.7,7951,129.0,57,6.4,1.42,2051,7,Professional,2025-06-01
26,1,Amna Farooq,38,Male,Islamabad,173.4,75.2,Yoga,60.2,196.6,3726,153.0,74,6.7,2.52,2226,5,Intermediate,2025-04-13
27,25,Sana Khan,26,Male,Multan,168.1,71.2,Running,46.8,556.8,14119,139.0,56,8.3,1.59,2445,4,Advanced,2025-10-02
28,37,Ayesha Malik,34,Male,,174.9,80.3,Cycling,79.0,652.3,14347,131.0,67,8.6,3.71,1596,4,Professional,2025-11-30
29,9,Imran Farooq,38,Female,Multan,151.7,56.4,Yoga,55.0,182.3,5575,139.0,66,5.1,2.05,1574,7,Intermediate,2025-09-12
30,32,Imran Ahmed,63,Male,Quetta,188.1,83.7,Walking,52.6,263.3,9911,103.0,69,6.4,1.83,1761,5,Professional,2025-06-30
31,1,Amna Farooq,38,Male,Islamabad,173.4,75.2,Weight Training,24.7,135.9,9610,133.0,66,7.7,1.32,2256,7,Intermediate,2025-07-08
32,8,Ayesha Iqbal,46,Female,Quetta,167.2,67.1,Weight Training,36.5,177.5,4501,119.0,63,10.1,3.5,2474,7,Intermediate,2025-09-03
33,49,Faisal Ahmed,49,Male,Quetta,187.4,82.9,Yoga,88.1,276.4,12105,168.0,72,5.9,1.68,1805,7,Professional,2025-10-03
34,4,Junaid Shah,45,Male,Faisalabad,176.6,68.8,Swimming,34.3,389.1,5900,134.0,82,5.1,2.36,2363,7,Intermediate,2025-02-13
35,12,Ali Siddiqui,40,Female,Faisalabad,170.5,79.8,Cycling,41.5,284.8,5952,121.0,85,8.0,2.4,2379,5,Intermediate,2025-07-28
36,33,Ali Butt,50,Female,Quetta,152.7,64.7,Weight Training,40.6,249.4,11165,140.0,68,5.6,1.92,2536,4,Intermediate,2025-05-24
37,20,Mariam Farooq,32,Female,Quetta,158.6,58.2,Cycling,41.3,318.2,8345,148.0,73,7.3,2.68,1739,7,Advanced,2025-12-14
38,22,Adeel Khan,19,Female,Multan,157.4,65.0,Weight Training,28.5,113.7,6818,98.0,64,9.3,2.54,2630,5,Beginner,2025-02-23
39,59,Noor Butt,42,Male,Karachi,170.6,88.5,Cycling,48.5,346.2,5736,134.0,58,7.5,1.78,2625,5,Intermediate,2025-09-06
40,48,Salman Shah,54,Female,Lahore,174.5,56.9,Yoga,36.4,67.7,6192,105.0,70,8.7,3.05,2543,3,Beginner,2025-10-24
41,41,Sara Shah,19,Male,Lahore,181.2,72.6,Yoga,83.7,192.0,7682,131.0,60,6.5,2.33,2106,4,Advanced,2025-12-03
42,9,Imran Farooq,38,Female,Multan,151.7,56.4,Running,32.1,-50.0,9635,110.0,66,8.9,1.8,2817,5,Intermediate,2025-03-12
43,2,Ayesha Farooq,41,Male,Quetta,171.6,80.0,Cardio,52.9,428.0,7979,148.0,70,6.3,2.16,2147,3,Advanced,2025-07-06
44,17,Kamran Chaudhry,23,Female,Faisalabad,151.6,62.3,Walking,36.2,147.4,20599,145.0,62,9.4,1.87,2485,4,Advanced,2025-09-20
45,53,Ayesha Ahmed,48,Male,Multan,197.3,79.0,Yoga,32.7,72.6,10377,120.0,73,7.0,1.86,1831,5,Beginner,2025-02-13
46,38,Mahnoor Chaudhry,54,Male,Multan,174.1,86.9,Cycling,37.2,360.5,14396,122.0,64,8.9,3.76,1990,3,Intermediate,2025-06-07
47,30,Tariq Malik,37,Male,Quetta,176.8,82.2,Swimming,36.0,481.8,12531,128.0,74,8.5,3.38,2568,3,Advanced,2025-10-11
48,31,Hina Butt,55,Male,Quetta,181.0,99.5,Running,49.7,478.2,4807,127.0,72,8.7,2.56,2144,4,Beginner,2025-09-10
49,43,Imran Butt,62,Male,Islamabad,171.1,76.5,Cardio,40.2,365.9,9093,137.0,78,6.1,1.91,3088,4,Beginner,2025-04-05
50,55,Iqra Malik,50,Female,Multan,176.9,45.0,Running,44.8,,4871,146.0,74,5.3,3.75,2190,1,Intermediate,2025-04-09
51,18,Sadia Siddiqui,45,Male,Lahore,180.1,74.9,Weight Training,37.8,,1110,128.0,57,7.0,1.87,2098,3,Beginner,2025-08-28
52,2,Ayesha Farooq,41,Male,Quetta,171.6,80.0,Running,61.4,739.8,6993,129.0,74,9.3,4.2,2373,7,Advanced,2025-12-05
53,17,Kamran Chaudhry,23,Female,Faisalabad,151.6,62.3,HIIT,68.6,890.2,11957,120.0,61,7.2,3.82,2544,5,Advanced,2025-11-25
54,37,Ayesha Malik,34,Male,Rawalpindi,174.9,80.3,Yoga,68.7,146.7,7591,126.0,66,7.1,1.46,2147,2,Professional,2025-10-18
55,60,Hamza Khan,52,Female,Peshawar,149.5,50.4,Cardio,23.7,228.7,500,118.0,70,8.0,3.48,2911,7,Intermediate,2025-07-17
56,41,Sara Shah,19,Male,Lahore,181.2,72.6,Swimming,75.1,735.5,11272,127.0,70,6.2,0.55,2146,3,Advanced,2025-01-23
57,2,Ayesha Farooq,41,Male,Quetta,171.6,80.0,Yoga,86.7,264.2,8485,146.0,49,5.6,0.64,1773,7,Advanced,2025-04-04
58,55,Iqra Malik,50,Female,Multan,176.9,45.0,Weight Training,33.7,211.6,13262,127.0,49,7.8,2.78,2236,3,Intermediate,2025-10-20
59,8,Ayesha Iqbal,46,Female,Quetta,167.2,67.1,HIIT,87.2,727.1,6511,96.0,82,6.7,2.36,2377,3,Intermediate,2025-08-16
60,45,Asad Iqbal,39,Female,Multan,164.5,45.0,Swimming,39.4,435.3,1874,,76,7.1,2.32,2360,7,Intermediate,2025-09-06
61,46,Mahnoor Raza,56,Male,Peshawar,191.7,100.1,Weight Training,45.9,249.5,6913,96.0,66,7.0,2.34,2041,6,Beginner,2025-02-12
62,11,Bilal Shah,56,Male,Lahore,179.6,80.9,Walking,63.3,170.6,5188,117.0,88,7.2,3.15,1447,7,Intermediate,2025-08-11
63,53,Ayesha Ahmed,48,Male,Multan,197.3,79.0,Running,36.2,409.1,5941,136.0,52,8.5,2.41,2483,5,Beginner,2025-09-02
64,24,Noor Khan,55,Male,Rawalpindi,184.8,61.2,Running,75.8,697.9,8442,99.0,63,8.0,1.05,2561,7,Intermediate,2025-04-03
65,52,Usman Butt,50,Male,Karachi,189.8,72.0,Walking,60.4,247.6,4438,124.0,79,8.1,2.15,2063,1,Intermediate,2025-10-21
66,28,Imran Ahmed,40,Male,Peshawar,188.1,82.8,Yoga,52.0,159.6,6629,115.0,84,6.7,3.2,2196,3,Intermediate,2025-10-08
67,26,Junaid Butt,36,Female,Faisalabad,168.2,72.3,Cycling,46.9,482.0,6330,143.0,77,4.5,1.99,2624,4,Intermediate,2025-03-06
68,28,Imran Ahmed,40,Male,Peshawar,188.1,82.8,Yoga,38.8,130.6,7914,119.0,66,6.4,1.55,2702,4,Intermediate,2025-01-18
69,41,Sara Shah,19,Male,Lahore,181.2,72.6,Walking,90.1,339.4,3334,136.0,70,7.1,2.93,2752,3,Advanced,2025-04-30
70,59,Noor Butt,42,Male,Karachi,170.6,88.5,Cardio,28.9,274.3,5012,134.0,74,4.2,1.61,2052,5,Intermediate,2025-05-02
71,8,Ayesha Iqbal,46,Female,Quetta,167.2,67.1,Yoga,28.4,105.6,6322,117.0,81,7.8,,1811,7,Intermediate,2025-07-25
72,33,Ali Butt,50,Female,Quetta,152.7,64.7,Weight Training,45.3,302.9,6324,92.0,71,5.5,,2200,6,Intermediate,2025-03-30
73,3,Sara Raza,50,Female,Faisalabad,163.7,45.0,Running,29.7,322.0,7511,121.0,77,5.8,2.72,1924,5,Beginner,2025-09-27
74,23,Tariq Ahmed,61,Male,Peshawar,188.8,54.7,Cardio,63.9,660.5,11799,131.0,65,5.6,1.94,1794,7,Intermediate,2025-10-13
75,41,Sara Shah,19,Male,Lahore,181.2,72.6,Yoga,46.9,136.6,7787,158.0,70,7.3,3.05,1962,5,Advanced,2025-04-01
76,1,Amna Farooq,38,Male,Islamabad,173.4,75.2,Weight Training,68.4,290.3,3553,156.0,65,6.1,1.5,1977,3,Intermediate,2025-12-01
77,39,Ali Butt,38,Female,Islamabad,157.7,55.2,Yoga,31.4,106.0,5421,128.0,75,6.6,2.71,2328,4,Beginner,2025-03-07
78,47,Kamran Ahmed,59,Female,Peshawar,169.3,57.5,Weight Training,43.2,269.8,4785,110.0,66,7.0,2.85,2468,6,Intermediate,2025-09-03
79,11,Bilal Shah,56,Male,Lahore,179.6,80.9,Weight Training,61.5,425.9,8134,138.0,74,7.2,2.93,2525,2,Intermediate,2025-02-02
80,34,Hamza Khan,50,Male,Rawalpindi,179.4,114.7,Walking,24.8,87.0,3643,130.0,48,5.0,2.41,2248,2,Beginner,2025-09-22
81,29,Sana Chaudhry,19,Female,Peshawar,169.0,66.8,Walking,37.2,91.7,5345,127.0,58,4.2,2.41,2625,2,Beginner,2025-07-17
82,42,Usman Shah,43,Female,Multan,164.1,68.1,Walking,20.4,86.8,1676,118.0,65,9.2,2.28,1319,7,Beginner,2025-03-06
83,42,Usman Shah,43,Female,Multan,164.1,68.1,Cycling,33.5,237.5,2875,142.0,73,6.0,3.22,1947,4,Beginner,2025-04-29
84,8,Ayesha Iqbal,46,Female,Quetta,167.2,67.1,Walking,79.6,251.6,9889,163.0,65,8.1,1.71,1925,2,Intermediate,2025-03-10
85,25,Sana Khan,26,Male,Multan,168.1,71.2,Weight Training,18.0,106.6,9163,123.0,59,5.5,2.87,1979,3,Advanced,2025-10-18
86,3,Sara Raza,50,Female,Faisalabad,163.7,45.0,HIIT,24.5,344.0,2824,116.0,58,6.2,3.57,2343,7,Beginner,2025-01-22
87,47,Kamran Ahmed,59,Female,Peshawar,169.3,57.5,Yoga,48.0,142.6,5034,162.0,63,5.5,2.14,1399,3,Intermediate,2025-07-26
88,29,Sana Chaudhry,19,Female,Peshawar,169.0,66.8,Running,23.9,336.0,4200,140.0,72,5.5,2.42,2681,7,Beginner,2025-01-18
89,9,Imran Farooq,38,Female,Multan,151.7,56.4,Running,35.3,341.8,6051,110.0,68,9.1,2.76,2099,7,Intermediate,2025-09-05
90,36,Komal Khan,45,Male,Faisalabad,181.0,82.7,HIIT,37.4,618.4,12055,157.0,61,5.8,2.21,1870,6,Advanced,2025-09-29
91,50,Sana Siddiqui,22,Male,Faisalabad,165.7,100.1,Swimming,33.4,314.6,14675,114.0,67,6.4,1.67,2368,7,Intermediate,2025-08-09
92,41,Sara Shah,19,Male,Lahore,181.2,72.6,HIIT,65.6,696.4,2559,113.0,79,7.4,2.98,2495,6,Advanced,2025-04-13
93,11,Bilal Shah,56,Male,Lahore,179.6,80.9,Yoga,26.5,71.6,5916,110.0,80,8.8,3.77,2271,3,Intermediate,2025-12-02
94,6,Mahnoor Ahmed,26,Male,Faisalabad,180.5,64.8,Cardio,29.3,247.8,8053,149.0,77,5.8,2.13,3800,3,Intermediate,2025-11-22
95,2,Ayesha Farooq,41,Male,Quetta,171.6,80.0,Weight Training,40.7,236.7,15539,116.0,66,7.3,1.71,2034,6,Advanced,2025-11-20
96,8,Ayesha Iqbal,46,Female,Quetta,167.2,67.1,Cycling,25.1,199.0,7203,149.0,60,8.3,2.42,1756,3,Intermediate,2025-11-02
97,18,Sadia Siddiqui,45,Male,Lahore,180.1,74.9,HIIT,40.9,652.4,2604,135.0,52,5.9,3.08,2181,7,Beginner,2025-10-19
98,60,Hamza Khan,52,Female,Peshawar,149.5,50.4,Weight Training,58.4,318.5,6899,157.0,80,9.0,2.27,2692,4,Intermediate,2025-10-20
99,24,Noor Khan,55,Male,Rawalpindi,184.8,61.2,Walking,57.0,176.9,7678,135.0,64,9.2,2.54,1708,5,Intermediate,2025-11-26
100,36,Komal Khan,45,Male,Faisalabad,181.0,82.7,Yoga,30.5,88.9,9974,84.0,67,7.1,2.91,2681,4,Advanced,2025-01-26
101,26,Junaid Butt,36,Female,Faisalabad,168.2,72.3,Walking,29.0,122.3,12036,127.0,59,5.5,2.37,2614,6,Intermediate,2025-03-30
102,57,Asad Malik,52,Female,Multan,170.6,49.5,Walking,38.2,147.8,10926,124.0,55,5.1,2.68,2431,7,Advanced,2025-04-02
103,17,Kamran Chaudhry,23,Female,Faisalabad,151.6,62.3,Cardio,47.2,462.3,16262,137.0,58,7.6,3.46,1956,2,Advanced,2025-03-31
104,19,Imran Butt,30,Female,Multan,145.0,69.1,Walking,44.8,173.7,13513,113.0,54,8.5,1.93,2163,7,Intermediate,2025-09-23
105,36,Komal Khan,45,Male,Faisalabad,181.0,82.7,Weight Training,60.4,411.1,10256,145.0,68,6.0,1.38,2348,6,Advanced,2025-07-12
106,60,Hamza Khan,52,Female,Peshawar,149.5,50.4,Cycling,26.0,263.7,6251,142.0,68,7.3,2.95,1921,2,Intermediate,2025-03-15
107,13,Hamza Khan,52,Male,Lahore,177.5,70.3,Weight Training,55.6,,5751,108.0,68,7.8,1.75,1599,4,Advanced,2025-05-20
108,36,Komal Khan,0,Male,Faisalabad,181.0,82.7,Cardio,54.4,644.6,10797,160.0,79,7.5,3.1,2449,6,Advanced,2025-09-22
109,25,Sana Khan,26,Male,Multan,350.0,71.2,Weight Training,54.5,441.5,10888,147.0,83,8.5,2.14,1689,3,Advanced,2025-05-27
110,34,Hamza Khan,50,Male,Rawalpindi,179.4,114.7,Yoga,20.2,33.3,5633,141.0,67,8.2,1.44,2131,2,Beginner,2025-02-21
111,10,Mahnoor Chaudhry,46,Male,Islamabad,179.1,88.7,Walking,52.9,177.4,10487,110.0,68,6.2,3.26,2254,3,Advanced,2025-08-17
112,55,Iqra Malik,50,Female,Multan,176.9,45.0,Weight Training,33.3,181.4,6755,118.0,60,7.2,2.32,2275,2,Intermediate,2025-08-21
113,14,Nida Siddiqui,44,Male,Karachi,156.7,87.9,Swimming,28.3,233.3,11010,160.0,56,7.0,3.15,1318,4,Intermediate,2025-01-27
114,7,Hamza Khan,53,Male,Rawalpindi,179.0,69.5,Swimming,15.1,152.9,7424,133.0,67,6.4,2.09,1999,4,Intermediate,2025-09-23
115,44,Sara Ahmed,49,Female,Lahore,158.6,66.0,Cardio,40.2,327.6,7064,75.0,62,5.8,1.5,2114,7,Beginner,2025-03-18
116,52,Usman Butt,50,Male,Karachi,189.8,72.0,HIIT,32.1,406.9,6812,109.0,70,7.3,1.92,2321,7,Intermediate,2025-01-07
117,27,Omar Khan,57,Female,Lahore,166.3,63.1,Cycling,38.2,301.2,12855,138.0,65,6.1,2.03,2696,5,Intermediate,2025-06-28
118,17,Kamran Chaudhry,23,Female,Faisalabad,151.6,62.3,Swimming,90.1,1121.9,9531,135.0,63,6.3,3.34,2840,5,Advanced,2025-08-16
119,27,Omar Khan,57,Female,Lahore,166.3,63.1,Running,37.1,407.2,7804,107.0,53,5.7,2.7,2234,4,Intermediate,2025-05-22
120,1,Amna Farooq,38,Male,Islamabad,173.4,75.2,Running,37.1,524.5,13682,157.0,67,7.3,1.48,2018,3,Intermediate,2025-04-19
121,13,Hamza Khan,52,Male,Lahore,177.5,70.3,Weight Training,83.2,558.5,5536,119.0,71,8.0,2.19,2279,6,Advanced,2025-10-03
122,35,Komal Iqbal,55,Female,Islamabad,168.2,62.1,Cycling,45.7,243.6,6968,129.0,48,7.0,1.69,1465,4,Intermediate,2025-02-27
123,41,Sara Shah,19,Male,Lahore,181.2,72.6,Walking,90.1,339.4,3334,136.0,70,7.1,2.93,2752,3,Advanced,2025-04-30
124,58,Komal Ahmed,58,Female,Karachi,175.7,64.5,Walking,48.5,148.7,8492,146.0,52,7.5,3.48,1716,6,Intermediate,2025-10-27
125,41,Sara Shah,19,Male,Lahore,181.2,72.6,Weight Training,80.0,562.9,10220,156.0,67,8.8,2.38,1928,4,Advanced,2025-01-27
126,45,Asad Iqbal,39,Female,Multan,164.5,45.0,Cycling,42.8,339.9,9526,126.0,62,7.3,2.23,2424,5,Intermediate,2025-08-14
127,43,Imran Butt,62,Male,Islamabad,171.1,76.5,Cycling,23.3,152.8,2825,175.0,61,7.9,1.25,2767,7,Beginner,2025-07-11
128,3,Sara Raza,50,Female,Faisalabad,163.7,45.0,HIIT,16.8,275.7,2637,116.0,62,8.2,2.26,2699,4,Beginner,2025-08-30
129,37,Ayesha Malik,34,Male,Rawalpindi,174.9,80.3,Swimming,67.3,740.2,12905,162.0,59,8.1,2.54,2477,5,Professional,2025-08-17
130,5,Imran Malik,54,Female,Peshawar,153.9,69.5,Swimming,30.9,330.1,6875,109.0,69,8.7,3.96,2215,6,Beginner,2025-03-30
131,41,Sara Shah,19,Male,Lahore,181.2,72.6,Swimming,57.3,678.6,10307,172.0,78,6.9,2.42,2852,2,Advanced,2025-07-05
132,28,Imran Ahmed,40,Male,Peshawar,188.1,82.8,HIIT,14.7,208.1,4765,105.0,58,7.7,2.44,2545,3,Intermediate,2025-08-04
133,19,Imran Butt,30,Female,Multan,145.0,69.1,Cardio,43.7,447.7,11731,154.0,70,8.0,1.99,2267,6,Intermediate,2025-03-28
134,14,Nida Siddiqui,44,Male,Karachi,156.7,87.9,Yoga,43.5,167.2,5082,126.0,65,6.4,2.91,3095,4,Intermediate,2025-07-08
135,31,Hina Butt,55,Male,Quetta,181.0,99.5,HIIT,36.3,376.9,3867,152.0,74,6.6,3.86,1675,7,Beginner,2025-12-13
136,56,Ali Farooq,27,Male,Faisalabad,170.3,67.6,Weight Training,32.9,208.1,5218,300.0,52,6.3,1.72,2386,6,Beginner,2025-04-26
137,36,Komal Khan,45,Male,Faisalabad,181.0,82.7,Walking,57.8,177.7,1506,126.0,80,7.4,1.97,2632,7,Advanced,2025-01-21
138,43,Imran Butt,62,Male,Islamabad,171.1,76.5,Cardio,27.4,220.4,9220,146.0,79,6.8,2.54,1961,7,Beginner,2025-04-12
139,51,Bilal Iqbal,46,Male,Karachi,173.3,100.5,Cardio,83.7,695.4,6932,134.0,72,8.3,2.38,1860,6,Advanced,2025-10-09
140,23,Tariq Ahmed,61,Male,Peshawar,188.8,54.7,Weight Training,48.1,264.3,12026,122.0,68,8.3,2.72,2302,7,Intermediate,2025-09-14
141,31,Hina Butt,55,Male,Quetta,181.0,99.5,Cardio,22.1,178.9,4819,130.0,76,6.2,2.88,3292,4,Beginner,2025-02-10
142,30,Tariq Malik,37,Male,Quetta,176.8,82.2,Swimming,41.0,,15567,144.0,75,6.3,1.22,2796,5,Advanced,2025-08-10
143,23,Tariq Ahmed,61,Male,Peshawar,188.8,54.7,Weight Training,48.1,264.3,12026,122.0,68,8.3,2.72,2302,7,Intermediate,2025-09-14
144,41,Sara Shah,19,Male,Lahore,181.2,72.6,Swimming,40.1,437.6,4613,145.0,59,6.0,1.33,1999,7,Advanced,2025-06-14
145,26,Junaid Butt,36,Female,Faisalabad,168.2,72.3,Running,62.2,680.6,12474,145.0,78,6.0,1.87,2338,6,Intermediate,2025-06-20
146,12,Ali Siddiqui,40,Female,Faisalabad,170.5,79.8,Cycling,40.2,301.5,4039,161.0,64,8.6,2.02,2667,2,Intermediate,2025-05-29
147,13,Hamza Khan,52,Male,Lahore,177.5,70.3,Cardio,38.8,263.4,12761,0.0,62,6.8,1.63,1985,3,Advanced,2025-07-15
148,30,Tariq Malik,37,Male,Quetta,176.8,82.2,Walking,79.1,,15480,98.0,82,7.0,1.44,2533,3,Advanced,2025-12-26
149,8,Ayesha Iqbal,46,Female,Quetta,167.2,67.1,Yoga,48.7,135.0,6086,134.0,56,5.2,1.93,2114,6,Intermediate,2025-05-21
150,16,Asad Butt,30,Male,Rawalpindi,173.5,72.9,Yoga,65.0,164.4,16423,140.0,64,6.0,2.42,2445,1,Advanced,2025-12-15
151,56,Ali Farooq,27,Male,Faisalabad,170.3,67.6,Walking,18.1,82.7,1662,139.0,72,6.7,,2089,2,Beginner,2025-05-08
152,50,Sana Siddiqui,22,Male,Faisalabad,165.7,100.1,HIIT,81.0,1136.9,4522,119.0,70,7.6,3.06,2384,3,Intermediate,2025-03-04
153,34,Hamza Khan,50,Male,Rawalpindi,179.4,114.7,Cycling,16.6,144.7,883,129.0,63,5.4,3.45,2183,3,Beginner,2025-05-17
154,28,Imran Ahmed,40,Male,Peshawar,188.1,82.8,Swimming,60.1,645.8,8568,168.0,74,5.9,1.01,2103,6,Intermediate,2025-09-04
155,34,Hamza Khan,50,Male,Rawalpindi,179.4,114.7,HIIT,34.7,389.6,6768,120.0,73,8.0,1.98,1750,7,Beginner,2025-05-19
156,59,Noor Butt,42,Male,Karachi,170.6,88.5,Yoga,50.1,160.5,12526,126.0,71,5.9,2.21,1589,1,Intermediate,2025-04-25
157,7,Hamza Khan,53,Male,Rawalpindi,179.0,69.5,Swimming,73.6,825.4,6849,147.0,71,7.7,2.64,1835,4,Intermediate,2025-03-14
158,53,Ayesha Ahmed,48,Male,Multan,197.3,79.0,Yoga,23.4,73.1,5562,147.0,73,7.8,2.66,1529,5,Beginner,2025-03-28
159,18,Sadia Siddiqui,45,Male,Lahore,180.1,74.9,Cycling,43.3,329.0,6435,109.0,67,6.8,2.68,2052,6,Beginner,2025-09-05
160,48,Salman Shah,54,Female,Lahore,174.5,56.9,Cycling,57.4,423.2,4794,121.0,73,4.6,2.1,2090,4,Beginner,2025-06-18
161,56,Ali Farooq,27,Male,Faisalabad,170.3,67.6,Cycling,35.8,284.6,5487,111.0,68,7.5,2.77,1684,3,Beginner,2025-09-23
162,48,Salman Shah,54,Female,Lahore,174.5,56.9,Yoga,36.4,67.7,6192,105.0,70,8.7,3.05,2543,3,Beginner,2025-10-24
163,10,Mahnoor Chaudhry,46,Male,Islamabad,179.1,88.7,Swimming,55.1,557.9,9239,152.0,60,6.0,3.31,2182,4,Advanced,2025-06-05
164,29,Sana Chaudhry,19,Female,Peshawar,169.0,66.8,Running,34.3,374.8,7662,158.0,58,6.7,2.53,2093,6,Beginner,2025-09-22
165,31,Hina Butt,55,Male,Quetta,181.0,99.5,Walking,29.7,163.6,2553,115.0,67,,-2.0,2309,4,Beginner,2025-07-26
166,34,Hamza Khan,50,Male,Rawalpindi,179.4,114.7,HIIT,46.9,801.8,5238,164.0,61,6.3,3.67,2521,6,Beginner,2025-08-23
167,22,Adeel Khan,19,Female,Multan,157.4,65.0,Cycling,25.6,229.1,6434,110.0,78,10.9,1.78,2117,3,Beginner,2025-12-14
168,1,Amna Farooq,38,Male,Islamabad,173.4,75.2,Swimming,51.6,482.7,8641,126.0,68,7.6,2.22,1801,4,Intermediate,2025-10-14
169,11,Bilal Shah,56,Male,Lahore,179.6,80.9,Running,14.1,163.1,9308,118.0,63,9.9,1.97,1751,7,Intermediate,2025-01-31
170,49,Faisal Ahmed,49,Male,Quetta,187.4,82.9,Swimming,24.2,216.3,19768,123.0,63,7.0,3.31,2166,6,Professional,2025-04-24
171,19,Imran Butt,30,Female,Multan,145.0,69.1,HIIT,62.4,927.0,11873,132.0,63,7.8,2.2,2435,5,Intermediate,2025-12-04
172,58,Komal Ahmed,58,Female,Karachi,175.7,64.5,Yoga,18.7,51.4,8733,135.0,64,6.7,2.76,2035,4,Intermediate,2025-10-21
173,35,Komal Iqbal,55,Female,Islamabad,168.2,62.1,Walking,27.5,112.3,8378,105.0,71,7.3,3.31,2684,2,Intermediate,2025-10-10
174,43,Imran Butt,62,Male,Islamabad,171.1,76.5,HIIT,30.1,349.2,2932,135.0,74,,2.96,2001,5,Beginner,2025-12-24
175,40,Fatima Iqbal,20,Male,Quetta,168.8,79.8,Running,42.7,434.8,8786,154.0,73,8.2,2.03,2198,3,Intermediate,2025-12-14
